episode,reward_mean,success_rate,elapsed_s
48,0.0125,0.0000,0
96,0.0125,0.0000,1
144,0.0187,0.0000,1
192,0.0062,0.0000,1
240,0.0062,0.0000,2
288,0.0338,0.0208,2
336,0.0062,0.0000,2
384,0.0125,0.0000,3
432,0.0062,0.0000,3
480,0.0062,0.0000,3
528,0.0339,0.0208,4
576,0.0277,0.0208,4
624,0.0312,0.0000,5
672,0.0125,0.0000,5
720,0.0062,0.0000,6
768,0.0187,0.0000,6
816,0.0062,0.0000,6
864,0.0276,0.0208,7
912,0.0401,0.0208,7
960,0.0250,0.0000,8
1008,0.0375,0.0000,8
1056,0.0437,0.0000,9
1104,0.0463,0.0208,10
1152,0.0250,0.0000,10
1200,0.0250,0.0000,11
1248,0.0625,0.0000,12
1296,0.0712,0.0208,13
1344,0.0187,0.0000,14
1392,0.0312,0.0000,15
1440,0.0312,0.0000,15
1488,0.0250,0.0000,16
1536,0.0187,0.0000,16
1584,0.0125,0.0000,17
1632,0.0462,0.0208,18
1680,0.0462,0.0208,19
1728,0.0312,0.0000,19
1776,0.0375,0.0000,20
1824,0.0125,0.0000,20
1872,0.0437,0.0000,21
1920,0.0375,0.0000,22
1968,0.0586,0.0208,23
2016,0.0526,0.0208,24
2064,0.0187,0.0000,24
2112,0.0463,0.0208,25
2160,0.0625,0.0000,26
2208,0.0400,0.0208,27
2256,0.0926,0.0417,28
2304,0.0438,0.0000,29
2352,0.1287,0.0833,31
2400,0.0862,0.0417,32
2448,0.0438,0.0000,33
2496,0.0563,0.0000,34
2544,0.0776,0.0208,35
2592,0.0839,0.0208,37
2640,0.0713,0.0208,38
2688,0.1049,0.0417,40
2736,0.0988,0.0417,41
2784,0.0875,0.0000,43
2832,0.0625,0.0000,44
2880,0.1426,0.0417,46
2928,0.0837,0.0208,47
2976,0.0875,0.0000,49
3024,0.0899,0.0208,51
3072,0.1424,0.0417,53
3120,0.0687,0.0000,54
3168,0.1151,0.0208,56
3216,0.1338,0.0208,58
3264,0.0962,0.0208,60
3312,0.0750,0.0000,61
3360,0.1087,0.0208,63
3408,0.1487,0.0417,66
3456,0.1550,0.0417,68
3504,0.1512,0.0625,70
3552,0.0750,0.0000,72
3600,0.0875,0.0000,73
3648,0.0938,0.0000,75
3696,0.1486,0.0417,77
3744,0.0938,0.0000,80
3792,0.0938,0.0000,82
3840,0.1337,0.0208,84
3888,0.1213,0.0208,86
3936,0.1062,0.0000,88
3984,0.1212,0.0208,90
4032,0.0813,0.0000,92
4080,0.1500,0.0000,95
4128,0.1500,0.0000,97
4176,0.1062,0.0000,99
4224,0.1312,0.0000,102
4272,0.1762,0.0625,104
4320,0.0812,0.0000,106
4368,0.1213,0.0208,109
4416,0.1274,0.0208,111
4464,0.1300,0.0417,113
4512,0.1177,0.0417,115
4560,0.1174,0.0417,117
4608,0.1175,0.0417,119
4656,0.1926,0.0417,122
4704,0.1423,0.0417,124
4752,0.2276,0.1250,127
4800,0.1360,0.0417,129
4848,0.0938,0.0000,131
4896,0.1949,0.0625,134
4944,0.1125,0.0000,136
4992,0.1463,0.0208,139
5040,0.1401,0.0208,141
5088,0.1338,0.0208,143
5136,0.1500,0.0000,146
5184,0.1437,0.0000,148
5232,0.1675,0.0417,151
5280,0.1588,0.0208,153
5328,0.1275,0.0208,156
5376,0.1863,0.0417,158
5424,0.2200,0.0625,162
5472,0.1799,0.0417,164
5520,0.1625,0.0000,167
5568,0.1437,0.0000,170
5616,0.1861,0.0417,172
5664,0.1988,0.0417,176
5712,0.1338,0.0208,178
5760,0.1836,0.0208,181
5808,0.1900,0.0208,184
5856,0.1588,0.0208,187
5904,0.1438,0.0000,190
5952,0.1500,0.0000,192
6000,0.1313,0.0000,195
6048,0.1549,0.0417,197
6096,0.1862,0.0417,200
6144,0.2025,0.0208,203
6192,0.2288,0.0833,206
6240,0.1500,0.0000,209
6288,0.1675,0.0417,211
6336,0.1889,0.0625,214
6384,0.1562,0.0000,216
6432,0.2224,0.0833,219
6480,0.1900,0.0208,222
6528,0.1687,0.0000,225
6576,0.1375,0.0000,228
6624,0.2401,0.1250,231
6672,0.1250,0.0000,233
6720,0.1588,0.0208,236
6768,0.2012,0.0625,239
6816,0.1900,0.0208,242
6864,0.2174,0.0417,245
6912,0.1738,0.0417,248
6960,0.1651,0.0208,251
7008,0.1562,0.0000,254
7056,0.2200,0.0625,257
7104,0.1888,0.0625,260
7152,0.1711,0.0208,263
7200,0.1750,0.0000,266
7248,0.2477,0.0833,269
7296,0.1651,0.0208,272
7344,0.1687,0.0000,275
7392,0.2400,0.0208,279
7440,0.1713,0.0208,281
7488,0.1950,0.0625,284
7536,0.2377,0.1042,287
7584,0.2412,0.0833,290
7632,0.2176,0.0417,293
7680,0.1961,0.0208,296
7728,0.1963,0.0208,299
7776,0.1562,0.0000,302
7824,0.1926,0.0417,305
7872,0.1900,0.0208,308
7920,0.2037,0.0833,311
7968,0.1687,0.0000,314
8016,0.2299,0.0417,317
8064,0.2087,0.0208,320
8112,0.1526,0.0208,323
8160,0.1712,0.0208,326
8208,0.2812,0.1042,329
8256,0.1713,0.0208,332
8304,0.1963,0.0208,335
8352,0.2664,0.0833,339
8400,0.1925,0.0417,341
8448,0.1837,0.0208,344
8496,0.2237,0.0417,347
8544,0.2363,0.0417,351
8592,0.2288,0.0833,354
8640,0.2147,0.0208,357
8688,0.2138,0.0625,360
8736,0.2324,0.0625,363
8784,0.2176,0.0417,366
8832,0.2139,0.0625,369
8880,0.2025,0.0208,373
8928,0.1625,0.0000,376
8976,0.2150,0.0208,379
9024,0.2287,0.0833,382
9072,0.2325,0.0625,385
9120,0.2388,0.0625,389
9168,0.1750,0.0000,392
9216,0.2051,0.0417,395
9264,0.1838,0.0208,398
9312,0.2297,0.0417,401
9360,0.2325,0.0625,405
9408,0.2051,0.0417,408
9456,0.2513,0.0625,411
9504,0.2326,0.0625,415
9552,0.1988,0.0417,418
9600,0.2364,0.0417,421
9648,0.2000,0.0000,424
9696,0.2062,0.0000,428
9744,0.1735,0.0417,431
9792,0.2362,0.0417,434
9840,0.2512,0.0625,437
9888,0.2539,0.0833,440
9936,0.1901,0.0208,444
9984,0.2362,0.0417,447
10032,0.1650,0.0208,449
10080,0.2549,0.0417,453
10128,0.2673,0.0417,457
10176,0.1825,0.0625,459
10224,0.2713,0.1250,462
10272,0.2599,0.0833,466
10320,0.2112,0.0417,469
10368,0.1739,0.0417,472
10416,0.2286,0.0833,475
10464,0.1926,0.0417,478
10512,0.1963,0.0208,481
10560,0.2486,0.0417,485
10608,0.2839,0.1250,488
10656,0.2337,0.0208,492
10704,0.1739,0.0417,494
10752,0.2301,0.0417,498
10800,0.2661,0.0833,501
10848,0.2337,0.0208,505
10896,0.2263,0.0625,508
10944,0.2176,0.0417,512
10992,0.1588,0.0208,514
11040,0.1900,0.0208,518
11088,0.2513,0.0625,521
11136,0.2489,0.0417,525
11184,0.3063,0.1042,529
11232,0.2613,0.0417,533
11280,0.2961,0.1250,536
11328,0.2575,0.0625,540
11376,0.2714,0.1250,543
11424,0.2338,0.0208,547
11472,0.2389,0.0625,550
11520,0.2700,0.0625,554
11568,0.2158,0.0833,557
11616,0.2352,0.0833,560
11664,0.2725,0.0833,563
11712,0.2639,0.0625,567
11760,0.2475,0.0833,570
11808,0.2722,0.0833,574
11856,0.2675,0.0417,578
11904,0.2213,0.0208,581
11952,0.2800,0.0417,585
12000,0.2538,0.0833,588
12048,0.3189,0.1042,593
12096,0.2762,0.0625,596
12144,0.2875,0.1042,600
12192,0.3111,0.1458,603
12240,0.2966,0.1250,607
12288,0.2962,0.1250,610
12336,0.3075,0.0625,615
12384,0.2912,0.0833,618
12432,0.2985,0.1458,622
12480,0.3427,0.1458,626
12528,0.2625,0.1042,629
12576,0.2513,0.0625,632
12624,0.2489,0.0417,636
12672,0.2514,0.0625,639
12720,0.2838,0.1250,643
12768,0.2539,0.0833,647
12816,0.2425,0.0417,650
12864,0.2765,0.0625,654
12912,0.2913,0.0833,657
12960,0.1938,0.0000,661
13008,0.2362,0.0417,664
13056,0.2862,0.0417,668
13104,0.2561,0.1042,671
13152,0.2849,0.0833,675
13200,0.2973,0.0833,678
13248,0.2728,0.0833,682
13296,0.2996,0.1042,685
13344,0.2884,0.0625,689
13392,0.2885,0.0625,693
13440,0.2988,0.1458,696
13488,0.3063,0.1042,700
13536,0.2549,0.0417,703
13584,0.3489,0.1458,707
13632,0.2551,0.0417,711
13680,0.3215,0.1250,715
13728,0.2451,0.0625,718
13776,0.2910,0.0833,722
13824,0.2601,0.0833,725
13872,0.3101,0.0833,729
13920,0.3552,0.1458,733
13968,0.3275,0.1250,737
14016,0.2976,0.0833,741
14064,0.2702,0.0625,745
14112,0.3098,0.0833,748
14160,0.3063,0.1042,753
14208,0.3002,0.1042,756
14256,0.2914,0.0833,760
14304,0.2862,0.0417,764
14352,0.3334,0.1250,768
14400,0.3663,0.1875,771
14448,0.2425,0.0417,775
14496,0.2562,0.1042,779
14544,0.2387,0.0625,782
14592,0.3207,0.1250,786
14640,0.2911,0.0833,789
14688,0.3677,0.1458,793
14736,0.3738,0.1458,798
14784,0.2975,0.0833,802
14832,0.3723,0.1875,806
14880,0.2761,0.0625,809
14928,0.2151,0.0208,813
14976,0.2909,0.0833,817
15024,0.3039,0.0833,821
15072,0.2400,0.0208,825
15120,0.3001,0.1042,828
15168,0.2401,0.0208,832
15216,0.3099,0.0833,836
15264,0.3274,0.1250,840
15312,0.3165,0.0833,844
15360,0.2913,0.0833,848
15408,0.3364,0.1458,852
15456,0.3589,0.1250,857
15504,0.3136,0.0625,861
15552,0.3337,0.1250,865
15600,0.3151,0.1250,869
15648,0.3000,0.1042,873
15696,0.3677,0.1458,877
15744,0.2424,0.0417,880
15792,0.2588,0.0208,884
15840,0.2973,0.0833,888
15888,0.2861,0.0417,893
15936,0.3237,0.1458,896
15984,0.3211,0.1250,900
16032,0.2975,0.0833,904
16080,0.2900,0.1250,907
16128,0.2877,0.1042,910
16176,0.2827,0.0625,914
16224,0.3402,0.1250,918
16272,0.2737,0.0417,922
16320,0.2950,0.0625,927
16368,0.2551,0.0417,931
16416,0.2576,0.0625,934
16464,0.2364,0.0417,938
16512,0.3939,0.2083,942
16560,0.3427,0.1458,946
16608,0.3190,0.1042,950
16656,0.3638,0.1667,953
16704,0.2914,0.0833,957
16752,0.3201,0.0625,961
16800,0.3638,0.1667,965
16848,0.3462,0.1250,969
16896,0.2651,0.0208,973
16944,0.3160,0.0833,977
16992,0.3766,0.1667,981
17040,0.3952,0.1667,986
17088,0.3890,0.1667,990
17136,0.2862,0.0417,994
17184,0.3076,0.0625,999
17232,0.3464,0.1250,1003
17280,0.2515,0.0625,1007
17328,0.2515,0.0625,1010
17376,0.3289,0.0833,1015
17424,0.3680,0.1458,1019
17472,0.2950,0.0625,1024
17520,0.3326,0.1667,1028
17568,0.3515,0.1667,1032
17616,0.3175,0.1458,1035
17664,0.4028,0.2292,1039
17712,0.2909,0.0833,1043
17760,0.3535,0.1875,1047
17808,0.2663,0.0833,1050
17856,0.2287,0.0833,1053
17904,0.2661,0.0833,1056
17952,0.2876,0.1042,1060
18000,0.2575,0.0625,1063
18048,0.3338,0.1250,1067
18096,0.2964,0.1250,1070
18144,0.2674,0.0417,1074
18192,0.3248,0.1042,1079
18240,0.3251,0.1042,1083
18288,0.3251,0.1042,1087
18336,0.2877,0.1042,1090
18384,0.3485,0.1458,1094
18432,0.3238,0.1458,1098
18480,0.3300,0.1458,1101
18528,0.2976,0.0833,1105
18576,0.2551,0.0417,1109
18624,0.2875,0.1042,1113
18672,0.1962,0.0208,1116
18720,0.3253,0.1042,1120
18768,0.2977,0.0833,1124
18816,0.2487,0.0417,1128
18864,0.2510,0.0625,1131
18912,0.2814,0.1042,1135
18960,0.2849,0.0833,1138
19008,0.2611,0.0417,1142
19056,0.2688,0.1042,1145
19104,0.3027,0.1250,1148
19152,0.3429,0.1458,1152
19200,0.2401,0.0208,1156
19248,0.3875,0.2083,1160
19296,0.2676,0.0417,1165
19344,0.3764,0.1667,1169
19392,0.2951,0.0625,1173
19440,0.2941,0.1042,1176
19488,0.2824,0.0625,1180
19536,0.3549,0.1458,1184
19584,0.2650,0.0208,1189
19632,0.3553,0.1458,1193
19680,0.2977,0.0833,1198
19728,0.3278,0.1250,1202
19776,0.2551,0.0417,1205
19824,0.2939,0.1042,1209
19872,0.3250,0.1042,1213
19920,0.4279,0.2292,1218
19968,0.3525,0.1250,1222
48,0.3618,0.1458,4
96,0.3615,0.1458,8
144,0.4638,0.2708,12
192,0.3249,0.1042,17
240,0.3700,0.1667,21
288,0.3548,0.1458,25
336,0.3786,0.1875,29
384,0.4273,0.2292,33
432,0.3036,0.0833,37
480,0.3101,0.0833,41
528,0.3490,0.1458,45
576,0.3485,0.1458,49
624,0.3275,0.1250,53
672,0.3739,0.1458,57
720,0.4400,0.2292,62
768,0.3125,0.1042,66
816,0.4191,0.2083,71
864,0.3290,0.0833,75
912,0.3439,0.1042,80
960,0.3676,0.1458,84
1008,0.2986,0.0417,88
1056,0.3614,0.1458,93
1104,0.3675,0.1458,97
1152,0.3767,0.1667,101
1200,0.3138,0.0625,106
1248,0.2737,0.0417,109
1296,0.3313,0.1042,114
1344,0.4225,0.1875,119
1392,0.4307,0.2500,123
1440,0.2862,0.0417,128
1488,0.3289,0.0833,132
1536,0.3525,0.1250,137
1584,0.3437,0.1042,141
1632,0.3925,0.1458,146
1680,0.3551,0.1458,150
1728,0.3561,0.1042,155
1776,0.3678,0.1458,159
1824,0.3737,0.1458,163
1872,0.3200,0.0625,168
1920,0.3805,0.1458,173
1968,0.3613,0.1458,177
2016,0.3956,0.1667,181
2064,0.4613,0.2500,186
2112,0.3679,0.1458,190
2160,0.3249,0.1042,194
2208,0.3312,0.1042,198
2256,0.3550,0.1458,202
2304,0.3487,0.1458,207
2352,0.4280,0.2292,211
2400,0.2425,0.0417,214
2448,0.4337,0.2292,219
2496,0.3275,0.1250,224
2544,0.2790,0.0833,227
2592,0.3550,0.1458,232
2640,0.3402,0.1250,236
2688,0.3979,0.1875,240
2736,0.3099,0.0833,244
2784,0.3464,0.1250,248
2832,0.3740,0.1458,252
2880,0.5127,0.3125,257
2928,0.4366,0.2500,261
2976,0.3767,0.1667,266
3024,0.3740,0.1458,270
3072,0.4397,0.2292,275
3120,0.4041,0.1875,279
3168,0.3556,0.1042,284
3216,0.4398,0.2292,288
3264,0.4400,0.2292,292
3312,0.4190,0.2083,297
3360,0.3827,0.1667,301
3408,0.3950,0.1667,306
3456,0.4579,0.2708,310
3504,0.3704,0.1667,314
3552,0.3574,0.1667,318
3600,0.3766,0.1667,322
3648,0.4148,0.2292,326
3696,0.3553,0.1458,330
3744,0.4149,0.2292,334
3792,0.2987,0.0417,338
3840,0.3352,0.0833,342
3888,0.3952,0.1667,347
3936,0.3891,0.1667,351
3984,0.3740,0.1458,355
4032,0.3677,0.1458,359
4080,0.2588,0.0208,363
4128,0.3313,0.1042,367
4176,0.3613,0.1458,371
4224,0.3400,0.1250,375
4272,0.3400,0.1250,380
4320,0.3615,0.1458,384
4368,0.3650,0.1250,388
4416,0.3561,0.1042,392
4464,0.4379,0.2083,397
4512,0.4100,0.1875,401
4560,0.4128,0.2083,405
4608,0.4553,0.2500,409
4656,0.3529,0.1250,413
4704,0.3947,0.1667,418
4752,0.4601,0.2917,422
4800,0.4345,0.2292,426
4848,0.3702,0.1667,430
4896,0.4492,0.2500,434
4944,0.5580,0.3750,438
4992,0.2949,0.0625,442
5040,0.4041,0.1875,447
5088,0.3588,0.1250,451
5136,0.4940,0.3125,455
5184,0.3827,0.1667,459
5232,0.4187,0.2083,463
5280,0.4016,0.1667,468
5328,0.3441,0.1042,472
5376,0.4280,0.2292,477
5424,0.3642,0.1667,481
5472,0.3853,0.1875,485
5520,0.3674,0.1458,489
5568,0.3762,0.1667,494
5616,0.3460,0.1250,498
5664,0.4139,0.1667,503
5712,0.3650,0.1250,507
5760,0.4140,0.1667,512
5808,0.3766,0.1667,516
5856,0.3563,0.1042,521
5904,0.4194,0.2083,526
5952,0.3576,0.1667,530
6000,0.3529,0.1250,534
6048,0.3814,0.2083,538
6096,0.4035,0.1875,542
6144,0.4188,0.2083,547
6192,0.3888,0.1667,551
6240,0.3677,0.1458,556
6288,0.3512,0.1667,560
6336,0.3701,0.1667,564
6384,0.3313,0.1042,568
6432,0.4375,0.2083,573
6480,0.4129,0.2083,577
6528,0.3125,0.1042,581
6576,0.3828,0.1667,586
6624,0.4103,0.1875,590
6672,0.4590,0.2292,595
6720,0.3798,0.1458,599
6768,0.3671,0.1458,603
6816,0.3950,0.1667,608
6864,0.4491,0.2500,612
6912,0.4441,0.2083,617
6960,0.3827,0.1667,622
7008,0.4013,0.1667,626
7056,0.3883,0.1667,631
7104,0.4039,0.1875,635
7152,0.4300,0.2500,639
7200,0.3826,0.1667,643
7248,0.4166,0.1875,648
7296,0.4103,0.1875,652
7344,0.3552,0.1458,657
7392,0.3926,0.1458,661
7440,0.3589,0.1250,665
7488,0.3916,0.1875,670
7536,0.4277,0.2292,674
7584,0.3886,0.1667,679
7632,0.4396,0.2292,683
7680,0.4427,0.2500,688
7728,0.3702,0.1667,692
7776,0.3978,0.1875,696
7824,0.4277,0.2292,700
7872,0.3890,0.1667,704
7920,0.4039,0.1875,708
7968,0.4316,0.2083,713
8016,0.3413,0.0833,717
8064,0.4014,0.1667,722
8112,0.4042,0.1875,726
8160,0.4340,0.2292,730
8208,0.4188,0.2083,735
8256,0.3863,0.1458,740
8304,0.3475,0.0833,744
8352,0.3538,0.1875,748
8400,0.3250,0.1042,752
8448,0.3642,0.1667,756
8496,0.3950,0.1667,760
8544,0.3614,0.1458,765
8592,0.4967,0.3333,769
8640,0.4126,0.2083,773
8688,0.4616,0.2500,777
8736,0.4101,0.1875,781
8784,0.3953,0.1667,786
8832,0.4490,0.2500,790
8880,0.3590,0.1250,794
8928,0.3977,0.1875,799
8976,0.3425,0.1458,803
9024,0.3827,0.1667,807
9072,0.4066,0.2083,811
9120,0.3074,0.0625,816
9168,0.3652,0.1250,820
9216,0.3618,0.1458,824
9264,0.3761,0.1667,828
9312,0.3824,0.1667,832
9360,0.3401,0.1250,837
9408,0.3765,0.1667,841
9456,0.3189,0.1042,844
9504,0.4302,0.2500,848
9552,0.3077,0.0625,852
9600,0.3791,0.1875,856
9648,0.3402,0.1250,860
9696,0.3316,0.1042,864
9744,0.3489,0.1458,868
9792,0.3824,0.1667,872
9840,0.3650,0.1250,876
9888,0.3915,0.1875,881
9936,0.3464,0.1250,885
9984,0.3502,0.1042,889
10032,0.4015,0.1667,894
10080,0.3642,0.1667,898
10128,0.4465,0.2292,902
10176,0.4666,0.2917,906
10224,0.3981,0.1875,911
10272,0.3553,0.1458,915
10320,0.3612,0.1458,920
10368,0.4541,0.2917,924
10416,0.3891,0.1667,928
10464,0.3677,0.1458,932
10512,0.4217,0.2292,936
10560,0.3647,0.1250,941
10608,0.4577,0.2708,945
10656,0.4706,0.2708,950
10704,0.4575,0.2708,954
10752,0.4137,0.1667,958
10800,0.5262,0.3750,962
10848,0.4376,0.2083,966
10896,0.3192,0.1042,970
10944,0.4758,0.3125,975
10992,0.4186,0.2083,979
11040,0.3815,0.2083,983
11088,0.4280,0.2292,987
11136,0.3613,0.1458,991
11184,0.4457,0.2708,996
11232,0.4103,0.1875,1000
11280,0.4634,0.2708,1005
11328,0.4280,0.2292,1010
11376,0.4001,0.2083,1014
11424,0.3950,0.1667,1018
11472,0.4218,0.2292,1022
11520,0.3825,0.1667,1027
11568,0.4077,0.1667,1032
